# Table C2
Lookback Time, z, cSFRD, E, S0-Sa, Sab-Scd, Sd-Irr, Mass 1, Mass 2, Mass 3, Mass 4
1.0,0.07,8.4017, 7.9064, 7.9743, 7.7012, 7.1909, 8.2292, 7.8074, 7.1258, 6.6995 
 1.2,0.09,8.4005, 7.9064, 7.9741, 7.6988, 7.1831, 8.2290, 7.8056, 7.1195, 6.6824 
 1.4,0.10,8.3991, 7.9063, 7.9737, 7.6961, 7.1750, 8.2288, 7.8036, 7.1126, 6.6649 
 1.6,0.12,8.3977, 7.9063, 7.9733, 7.6932, 7.1664, 8.2286, 7.8014, 7.1051, 6.6468 
 1.8,0.14,8.3961, 7.9062, 7.9729, 7.6899, 7.1569, 8.2283, 7.7990, 7.0970, 6.6249 
 2.0,0.15,8.3944, 7.9062, 7.9724, 7.6861, 7.1472, 8.2281, 7.7962, 7.0878, 6.6039 
 2.2,0.17,8.3926, 7.9062, 7.9718, 7.6818, 7.1368, 8.2278, 7.7930, 7.0773, 6.5834 
 2.4,0.19,8.3909, 7.9069, 7.9717, 7.6767, 7.1253, 8.2280, 7.7893, 7.0649, 6.5643 
 2.6,0.21,8.3890, 7.9071, 7.9710, 7.6719, 7.1149, 8.2277, 7.7857, 7.0536, 6.5457 
 2.8,0.23,8.3869, 7.9071, 7.9701, 7.6666, 7.1044, 8.2272, 7.7817, 7.0419, 6.5288 
 3.0,0.25,8.3846, 7.9070, 7.9690, 7.6610, 7.0942, 8.2265, 7.7773, 7.0301, 6.5139 
 3.2,0.27,8.3822, 7.9067, 7.9677, 7.6552, 7.0843, 8.2257, 7.7728, 7.0190, 6.5001 
 3.4,0.29,8.3798, 7.9061, 7.9662, 7.6498, 7.0749, 8.2246, 7.7685, 7.0090, 6.4850 
 3.6,0.31,8.3769, 7.9050, 7.9643, 7.6441, 7.0654, 8.2230, 7.7639, 6.9990, 6.4684 
 3.8,0.33,8.3738, 7.9040, 7.9623, 7.6372, 7.0547, 8.2215, 7.7585, 6.9875, 6.4519 
 4.0,0.35,8.3707, 7.9035, 7.9604, 7.6294, 7.0429, 8.2202, 7.7523, 6.9746, 6.4351 
 4.2,0.38,8.3674, 7.9029, 7.9583, 7.6210, 7.0310, 8.2188, 7.7458, 6.9614, 6.4182 
 4.4,0.40,8.3639, 7.9023, 7.9560, 7.6122, 7.0188, 8.2172, 7.7389, 6.9479, 6.4014 
 4.6,0.42,8.3601, 7.9015, 7.9534, 7.6028, 7.0065, 8.2153, 7.7316, 6.9343, 6.3844 
 4.8,0.45,8.3562, 7.9006, 7.9505, 7.5930, 6.9937, 8.2133, 7.7241, 6.9203, 6.3675 
 5.0,0.47,8.3520, 7.8995, 7.9471, 7.5828, 6.9807, 8.2111, 7.7160, 6.9061, 6.3505 
 5.2,0.50,8.3475, 7.8983, 7.9436, 7.5722, 6.9673, 8.2086, 7.7077, 6.8916, 6.3334 
 5.4,0.53,8.3428, 7.8969, 7.9396, 7.5611, 6.9537, 8.2058, 7.6991, 6.8767, 6.3156 
 5.6,0.56,8.3378, 7.8954, 7.9354, 7.5493, 6.9396, 8.2027, 7.6901, 6.8614, 6.2972 
 5.8,0.59,8.3325, 7.8936, 7.9307, 7.5372, 6.9250, 8.1994, 7.6807, 6.8457, 6.2781 
 6.0,0.62,8.3269, 7.8917, 7.9256, 7.5243, 6.9102, 8.1957, 7.6708, 6.8296, 6.2584 
 6.2,0.65,8.3209, 7.8895, 7.9202, 7.5110, 6.8950, 8.1917, 7.6606, 6.8131, 6.2380 
 6.4,0.69,8.3146, 7.8870, 7.9143, 7.4973, 6.8796, 8.1873, 7.6498, 6.7960, 6.2172 
 6.6,0.72,8.3080, 7.8843, 7.9081, 7.4829, 6.8637, 8.1826, 7.6386, 6.7785, 6.1956 
 6.8,0.76,8.3009, 7.8813, 7.9016, 7.4679, 6.8474, 8.1775, 7.6267, 6.7602, 6.1732 
 7.0,0.80,8.2935, 7.8779, 7.8947, 7.4522, 6.8304, 8.1721, 7.6142, 6.7416, 6.1508 
 7.2,0.84,8.2857, 7.8742, 7.8872, 7.4356, 6.8128, 8.1663, 7.6010, 6.7222, 6.1275 
 7.4,0.88,8.2773, 7.8699, 7.8791, 7.4181, 6.7946, 8.1599, 7.5874, 6.7021, 6.1039 
 7.6,0.92,8.2685, 7.8653, 7.8707, 7.3998, 6.7758, 8.1531, 7.5732, 6.6812, 6.0797 
 7.8,0.97,8.2592, 7.8602, 7.8613, 7.3809, 6.7563, 8.1459, 7.5585, 6.6596, 6.0544 
 8.0,1.02,8.2493, 7.8544, 7.8513, 7.3612, 6.7361, 8.1380, 7.5429, 6.6371, 6.0290 
 8.2,1.07,8.2387, 7.8480, 7.8405, 7.3408, 6.7151, 8.1295, 7.5264, 6.6139, 6.0024 
 8.4,1.12,8.2275, 7.8410, 7.8291, 7.3191, 6.6933, 8.1205, 7.5091, 6.5899, 5.9747 
 8.6,1.18,8.2156, 7.8337, 7.8169, 7.2965, 6.6706, 8.1108, 7.4907, 6.5649, 5.9461 
 8.8,1.24,8.2029, 7.8256, 7.8037, 7.2730, 6.6470, 8.1002, 7.4714, 6.5390, 5.9162 
 9.0,1.31,8.1893, 7.8169, 7.7899, 7.2483, 6.6225, 8.0891, 7.4507, 6.5120, 5.8855 
 9.2,1.38,8.1748, 7.8072, 7.7749, 7.2224, 6.5967, 8.0767, 7.4294, 6.4837, 5.8534 
 9.4,1.45,8.1592, 7.7965, 7.7585, 7.1945, 6.5695, 8.0633, 7.4072, 6.4539, 5.8200 
 9.6,1.53,8.1425, 7.7846, 7.7411, 7.1664, 6.5410, 8.0487, 7.3832, 6.4224, 5.7852 
 9.8,1.62,8.1244, 7.7714, 7.7227, 7.1364, 6.5106, 8.0327, 7.3575, 6.3893, 5.7488 
 10.0,1.72,8.1048, 7.7567, 7.7024, 7.1047, 6.4786, 8.0152, 7.3300, 6.3543, 5.7107 
 10.2,1.82,8.0832, 7.7398, 7.6800, 7.0700, 6.4443, 7.9957, 7.3008, 6.3173, 5.6699 
 10.4,1.93,8.0597, 7.7204, 7.6556, 7.0327, 6.4078, 7.9740, 7.2692, 6.2780, 5.6270 
 10.6,2.06,8.0337, 7.6992, 7.6285, 6.9917, 6.3684, 7.9497, 7.2347, 6.2358, 5.5809 
 10.8,2.19,8.0050, 7.6752, 7.5981, 6.9479, 6.3259, 7.9226, 7.1978, 6.1905, 5.5320 
 11.0,2.35,7.9729, 7.6476, 7.5646, 6.9004, 6.2798, 7.8920, 7.1576, 6.1420, 5.4793 
 11.2,2.52,7.9368, 7.6155, 7.5269, 6.8493, 6.2298, 7.8571, 7.1131, 6.0895, 5.4225 
 11.4,2.72,7.8960, 7.5784, 7.4835, 6.7935, 6.1752, 7.8175, 7.0634, 6.0325, 5.3605 
 11.6,2.94,7.8497, 7.5353, 7.4341, 6.7327, 6.1144, 7.7724, 7.0072, 5.9701, 5.2931 
 11.8,3.20,7.7966, 7.4859, 7.3767, 6.6648, 6.0461, 7.7200, 6.9441, 5.9002, 5.2181 
 12.0,3.51,7.7353, 7.4275, 7.3098, 6.5881, 5.9692, 7.6590, 6.8718, 5.8226, 5.1323 
 12.2,3.88,7.6640, 7.3613, 7.2313, 6.4999, 5.8797, 7.5876, 6.7881, 5.7349, 5.0357 
 12.4,4.34,7.5799, 7.2839, 7.1382, 6.3974, 5.7753, 7.5037, 6.6919, 5.6324, 4.9243 
 12.6,4.92,7.4787, 7.1940, 7.0258, 6.2740, 5.6470, 7.4034, 6.5747, 5.5106, 4.7920 
 12.8,5.69,7.3528, 7.0854, 6.8839, 6.1174, 5.4829, 7.2804, 6.4244, 5.3610, 4.6233 
 13.0,6.77,7.1866, 6.9402, 6.6944, 5.9123, 5.2629, 7.1232, 6.2186, 5.1704, 4.4053 
 13.2,8.41,6.9276, 6.7027, 6.4070, 5.6111, 4.9485, 6.8740, 5.9074, 4.8917, 4.0565 
 
