# Table B2
Lookback Time, z, cSFRD, E, S0-Sa, Sab-Scd, Sd-Irr, Mass 1, Mass 2, Mass 3, Mass 4
1.0, 0.07, 8.3829, 7.8539, 7.9629, 7.7104, 7.2350, 8.2035, 7.7969, 7.1457, 6.8347
1.2, 0.09, 8.3817, 7.8539, 7.9627, 7.7083, 7.2281, 8.2033, 7.7953, 7.1406, 6.8206
1.4, 0.10, 8.3806, 7.8538, 7.9624, 7.7061, 7.2209, 8.2031, 7.7936, 7.1349, 6.8063
1.6, 0.12, 8.3792, 7.8538, 7.9620, 7.7035, 7.2130, 8.2029, 7.7918, 7.1287, 6.7910
1.8, 0.14, 8.3778, 7.8537, 7.9616, 7.7006, 7.2040, 8.2026, 7.7897, 7.1218, 6.7724
2.0, 0.15, 8.3762, 7.8538, 7.9612, 7.6972, 7.1945, 8.2024, 7.7873, 7.1135, 6.7538
2.2, 0.17, 8.3745, 7.8538, 7.9608, 7.6933, 7.1846, 8.2021, 7.7844, 7.1039, 6.7359
2.4, 0.19, 8.3729, 7.8547, 7.9608, 7.6885, 7.1734, 8.2024, 7.7812, 7.0925, 6.7185
2.6, 0.21, 8.3711, 7.8548, 7.9602, 7.6841, 7.1636, 8.2021, 7.7781, 7.0821, 6.7014
2.8, 0.23, 8.3692, 7.8549, 7.9595, 7.6792, 7.1537, 8.2017, 7.7745, 7.0716, 6.6854
3.0, 0.25, 8.3671, 7.8549, 7.9587, 7.6743, 7.1441, 8.2012, 7.7707, 7.0611, 6.6715
3.2, 0.27, 8.3649, 7.8547, 7.9576, 7.6693, 7.1348, 8.2004, 7.7669, 7.0512, 6.6581
3.4, 0.29, 8.3627, 7.8541, 7.9563, 7.6646, 7.1260, 8.1994, 7.7631, 7.0422, 6.6435
3.6, 0.31, 8.3600, 7.8529, 7.9546, 7.6595, 7.1168, 8.1979, 7.7590, 7.0332, 6.6269
3.8, 0.33, 8.3570, 7.8520, 7.9527, 7.6535, 7.1063, 8.1963, 7.7543, 7.0228, 6.6103
4.0, 0.35, 8.3540, 7.8515, 7.9509, 7.6467, 7.0948, 8.1950, 7.7490, 7.0110, 6.5927
4.2, 0.38, 8.3508, 7.8508, 7.9489, 7.6393, 7.0830, 8.1935, 7.7435, 6.9988, 6.5757
4.4, 0.40, 8.3474, 7.8502, 7.9466, 7.6317, 7.0709, 8.1918, 7.7375, 6.9863, 6.5586
