# Table B2
Lookback Time, z, cSFRD, E, S0-Sa, Sab-Scd, Sd-Irr, Mass 1, Mass 2, Mass 3, Mass 4
4.6, 0.42, 8.3437, 7.8494, 7.9440, 7.6236, 7.0587, 8.1899, 7.7312, 6.9733, 6.5409
4.8, 0.45, 8.3398, 7.8484, 7.9412, 7.6150, 7.0460, 8.1878, 7.7245, 6.9601, 6.5233
5.0, 0.47, 8.3357, 7.8473, 7.9382, 7.6055, 7.0331, 8.1853, 7.7176, 6.9464, 6.5051
5.2, 0.50, 8.3313, 7.8460, 7.9349, 7.5958, 7.0197, 8.1827, 7.7103, 6.9325, 6.4866
5.4, 0.53, 8.3266, 7.8446, 7.9314, 7.5856, 7.0062, 8.1796, 7.7027, 6.9182, 6.4682
5.6, 0.56, 8.3217, 7.8429, 7.9276, 7.5749, 6.9922, 8.1765, 7.6947, 6.9034, 6.4492
5.8, 0.59, 8.3165, 7.8410, 7.9234, 7.5640, 6.9779, 8.1731, 7.6863, 6.8881, 6.4302
6.0, 0.62, 8.3111, 7.8387, 7.9190, 7.5524, 6.9630, 8.1695, 7.6773, 6.8725, 6.4109
6.2, 0.65, 8.3052, 7.8362, 7.9142, 7.5402, 6.9478, 8.1656, 7.6679, 6.8567, 6.3917
6.4, 0.69, 8.2991, 7.8335, 7.9090, 7.5274, 6.9321, 8.1613, 7.6580, 6.8403, 6.3708
6.6, 0.72, 8.2926, 7.8307, 7.9034, 7.5140, 6.9159, 8.1567, 7.6477, 6.8235, 6.3507
6.8, 0.76, 8.2857, 7.8275, 7.8975, 7.5000, 6.8994, 8.1517, 7.6368, 6.8061, 6.3302
7.0, 0.80, 8.2784, 7.8238, 7.8912, 7.4850, 6.8822, 8.1462, 7.6253, 6.7883, 6.3092
7.2, 0.84, 8.2707, 7.8197, 7.8844, 7.4697, 6.8646, 8.1405, 7.6133, 6.7698, 6.2874
7.4, 0.88, 8.2626, 7.8153, 7.8773, 7.4535, 6.8465, 8.1341, 7.6008, 6.7505, 6.2646
7.6, 0.92, 8.2539, 7.8104, 7.8696, 7.4367, 6.8275, 8.1274, 7.5876, 6.7308, 6.2414
7.8, 0.97, 8.2448, 7.8050, 7.8614, 7.4193, 6.8074, 8.1201, 7.5739, 6.7102, 6.2172
8.0, 1.02, 8.2351, 7.7990, 7.8526, 7.4007, 6.7865, 8.1122, 7.5596, 6.6891, 6.1922
8.2, 1.07, 8.2248, 7.7925, 7.8431, 7.3814, 6.7649, 8.1037, 7.5445, 6.6669, 6.1673
8.4, 1.12, 8.2138, 7.7855, 7.8328, 7.3613, 6.7425, 8.0946, 7.5289, 6.6439, 6.1408
8.6, 1.18, 8.2021, 7.7775, 7.8220, 7.3402, 6.7190, 8.0847, 7.5122, 6.6200, 6.1135
8.8, 1.24, 8.1896, 7.7686, 7.8103, 7.3179, 6.6945, 8.0742, 7.4950, 6.5949, 6.0843
9.0, 1.31, 8.1764, 7.7590, 7.7979, 7.2945, 6.6687, 8.0628, 7.4766, 6.5689, 6.0549
9.2, 1.38, 8.1621, 7.7486, 7.7844, 7.2701, 6.6410, 8.0502, 7.4576, 6.5412, 6.0244
9.4, 1.45, 8.1469, 7.7371, 7.7699, 7.2442, 6.6129, 8.0366, 7.4374, 6.5127, 5.9922
9.6, 1.53, 8.1305, 7.7247, 7.7541, 7.2166, 6.5833, 8.0223, 7.4157, 6.4825, 5.9584
9.8, 1.62, 8.1128, 7.7106, 7.7369, 7.1873, 6.5517, 8.0064, 7.3931, 6.4511, 5.9225
10.0, 1.72, 8.0936, 7.6952, 7.7184, 7.1563, 6.5182, 7.9890, 7.3686, 6.4178, 5.8854
10.2, 1.82, 8.0726, 7.6775, 7.6982, 7.1236, 6.4834, 7.9698, 7.3423, 6.3825, 5.8471
10.4, 1.93, 8.0495, 7.6585, 7.6756, 7.0887, 6.4457, 7.9483, 7.3141, 6.3445, 5.8070
10.6, 2.06, 8.0242, 7.6372, 7.6502, 7.0514, 6.4054, 7.9244, 7.2836, 6.3037, 5.7650
10.8, 2.19, 7.9962, 7.6132, 7.6222, 7.0112, 6.3623, 7.8980, 7.2511, 6.2607, 5.7191
11.0, 2.35, 7.9652, 7.5864, 7.5905, 6.9677, 6.3157, 7.8682, 7.2154, 6.2141, 5.6709
11.2, 2.52, 7.9305, 7.5562, 7.5550, 6.9213, 6.2658, 7.8349, 7.1757, 6.1640, 5.6175
11.4, 2.72, 7.8915, 7.5220, 7.5149, 6.8691, 6.2114, 7.7979, 7.1324, 6.1093, 5.5601
11.6, 2.94, 7.8472, 7.4823, 7.4694, 6.8124, 6.1520, 7.7548, 7.0837, 6.0494, 5.4946
11.8, 3.20, 7.7964, 7.4359, 7.4170, 6.7499, 6.0851, 7.7050, 7.0286, 5.9824, 5.4238
12.0, 3.51, 7.7375, 7.3806, 7.3568, 6.6786, 6.0109, 7.6470, 6.9657, 5.9073, 5.3431
12.2, 3.88, 7.6681, 7.3150, 7.2845, 6.5979, 5.9282, 7.5779, 6.8942, 5.8233, 5.2586
12.4, 4.34, 7.5850, 7.2369, 7.1983, 6.5027, 5.8324, 7.4957, 6.8093, 5.7266, 5.1617
12.6, 4.92, 7.4836, 7.1409, 7.0925, 6.3898, 5.7174, 7.3952, 6.7058, 5.6101, 5.0451
12.8, 5.69, 7.3554, 7.0166, 6.9581, 6.2488, 5.5762, 7.2685, 6.5732, 5.4690, 4.9013
13.0, 6.77, 7.1850, 6.8539, 6.7767, 6.0599, 5.3906, 7.0989, 6.3989, 5.2851, 4.7291
13.2, 8.41, 6.9160, 6.5885, 6.4912, 5.7476, 5.1129, 6.8355, 6.1048, 5.0028, 4.4148
